account,classification,total_trades,avg_pnl,win_rate,avg_fee,avg_start_pos,avg_exec_price
0x430f09841d65beb3f27765503d0f850b8bce7713,Extreme Greed,15,8285.663251666667,1.0,2.8999908666666667,12864.996000000001,3.1947533333333333
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,1643,672.7357633444918,0.5100426049908704,0.9286067346317711,-30283.115124372358,1958.8209754040902
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Greed,171,428.02384293567246,0.8947368421052632,0.14665574748538013,7897.878630245323,22.99658479532164
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Greed,161,192.49802342236023,0.45962732919254656,0.15065881291925468,108811.35447576677,578.8648639403106
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Extreme Greed,256,181.2940121484375,0.51953125,0.0964204502734375,118825.38359437972,33.664381744921876
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Greed,206,178.9813353932039,0.36893203883495146,0.49630251495145633,9049.679870325243,22.464518980582525
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Greed,115,125.27291186956522,0.4956521739130435,0.7503997712173913,806.3645855982609,8838.783819130434
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Greed,167,122.73086336526946,0.3592814371257485,1.2281963473053892,14308.897005988023,10.648525149700598
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Extreme Greed,190,110.13428011578948,0.5526315789473685,1.0598014979473684,2723.7275294477367,113.47394368421052
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Extreme Greed,6723,71.21991197159007,0.5963111706083594,0.24901964419753084,24978.911143374,70.49826373642719
